FEN,Bewertung
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-35
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,69
rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,-65
rnbqkbnr/pp2pppp/2p5/3P4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,94
rnbqkbnr/pp2pppp/2P5/8/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 3,-80
r1bqkbnr/pp2pppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 4,73
r1bqkbnr/pp2pppp/2n5/8/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 4,-93
r1bqkbnr/pp3ppp/2n5/4p3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 5,87
r1bqkbnr/pp3ppp/2n5/4p3/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 5,-93
r1bqkb1r/pp3ppp/2n2n2/4p3/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 6,106
r1bqkb1r/pp3ppp/2n2n2/4p3/2B5/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 3 6,-80
r1bqk2r/pp3ppp/2nb1n2/4p3/2B5/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 4 7,93
r1bqk2r/pp3ppp/2nb1n2/4p3/2B5/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 5 7,-86
r1bqk2r/1p3ppp/p1nb1n2/4p3/2B5/2N2N2/PPPP1PPP/R1BQ1RK1 w kq - 0 8,102
r1bqk2r/1p3ppp/p1nb1n2/4p3/2B5/2NP1N2/PPP2PPP/R1BQ1RK1 b kq - 0 8,-99
r1bq1rk1/1p3ppp/p1nb1n2/4p3/2B5/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 1 9,93
r1bq1rk1/1p3ppp/p1nb1n2/4p3/2B5/2NP1N2/PPP2PPP/R1BQR1K1 b - - 2 9,-99
r1bq1rk1/1p3pp1/p1nb1n1p/4p3/2B5/2NP1N2/PPP2PPP/R1BQR1K1 w - - 0 10,104
r1bq1rk1/1p3pp1/p1nb1n1p/4p3/P1B5/2NP1N2/1PP2PPP/R1BQR1K1 b - - 0 10,-84
r1bqr1k1/1p3pp1/p1nb1n1p/4p3/P1B5/2NP1N2/1PP2PPP/R1BQR1K1 w - - 1 11,83
r1bqr1k1/1p3pp1/p1nb1n1p/4p3/P1B5/2NPBN2/1PP2PPP/R2QR1K1 b - - 2 11,-49
r1bqr1k1/1p3pp1/p1n2n1p/4p3/PbB5/2NPBN2/1PP2PPP/R2QR1K1 w - - 3 12,47
r1bqr1k1/1p3pp1/p1n2n1p/4p3/PbB5/2NP1N2/1PPB1PPP/R2QR1K1 b - - 4 12,-46
r2qr1k1/1p3pp1/p1n1bn1p/4p3/PbB5/2NP1N2/1PPB1PPP/R2QR1K1 w - - 5 13,122
r2qr1k1/1p3pp1/p1n1Bn1p/4p3/Pb6/2NP1N2/1PPB1PPP/R2QR1K1 b - - 0 13,-49
r2q2k1/1p3pp1/p1n1rn1p/4p3/Pb6/2NP1N2/1PPB1PPP/R2QR1K1 w - - 0 14,54
r2q2k1/1p3pp1/p1n1rn1p/4p3/Pb2N3/3P1N2/1PPB1PPP/R2QR1K1 b - - 1 14,-60
r2q2k1/1p3pp1/p1n1r2p/4p3/Pb2n3/3P1N2/1PPB1PPP/R2QR1K1 w - - 0 15,56
r2q2k1/1p3pp1/p1n1r2p/4p3/Pb2R3/3P1N2/1PPB1PPP/R2Q2K1 b - - 0 15,-55
r2q2k1/1p3pp1/p1n1r2p/4p3/P3R3/3P1N2/1PPb1PPP/R2Q2K1 w - - 0 16,93
r2q2k1/1p3pp1/p1n1r2p/4p3/P3R3/3P1N2/1PPQ1PPP/R5K1 b - - 0 16,-100
r5k1/1p3pp1/p1n1r2p/3qp3/P3R3/3P1N2/1PPQ1PPP/R5K1 w - - 1 17,99
r5k1/1p3pp1/p1n1r2p/3qp3/P3R3/3P1N2/1PPQ1PPP/4R1K1 b - - 2 17,-98
r5k1/5pp1/p1n1r2p/1p1qp3/P3R3/3P1N2/1PPQ1PPP/4R1K1 w - - 0 18,94
r5k1/5pp1/p1n1r2p/1p1qp3/P3R3/3P1N2/1PP1QPPP/4R1K1 b - - 1 18,-40
4r1k1/5pp1/p1n1r2p/1p1qp3/P3R3/3P1N2/1PP1QPPP/4R1K1 w - - 2 19,96
4r1k1/5pp1/p1n1r2p/1P1qp3/4R3/3P1N2/1PP1QPPP/4R1K1 b - - 0 19,-101
4r1k1/5pp1/2n1r2p/1p1qp3/4R3/3P1N2/1PP1QPPP/4R1K1 w - - 0 20,97
4r1k1/5pp1/2n1r2p/1p1qp3/4R3/2PP1N2/1P2QPPP/4R1K1 b - - 0 20,-86
4r1k1/5pp1/2n1r2p/3qp3/1p2R3/2PP1N2/1P2QPPP/4R1K1 w - - 0 21,84
4r1k1/5pp1/2n1r2p/3qp3/1P2R3/3P1N2/1P2QPPP/4R1K1 b - - 0 21,-81
4r1k1/6p1/2n1r2p/3qpp2/1P2R3/3P1N2/1P2QPPP/4R1K1 w - - 0 22,90
4r1k1/6p1/2n1r2p/3qpp2/1P6/3PRN2/1P2QPPP/4R1K1 b - - 1 22,-99
4r1k1/6p1/4r2p/3qpp2/1n6/3PRN2/1P2QPPP/4R1K1 w - - 0 23,141
4r1k1/6p1/4r2p/3qNp2/1n6/3PR3/1P2QPPP/4R1K1 b - - 0 23,3
4r1k1/6p1/4r2p/3qN3/1n3p2/3PR3/1P2QPPP/4R1K1 w - - 0 24,3
4r1k1/6p1/4r2p/3qN3/1n2Rp2/3P4/1P2QPPP/4R1K1 b - - 1 24,-9
4r1k1/6p1/4r2p/3qN3/4Rp2/3n4/1P2QPPP/4R1K1 w - - 0 25,9
4r1k1/6p1/4r2p/3qN3/4Rp2/3Q4/1P3PPP/4R1K1 b - - 0 25,248
4r1k1/6p1/4r2p/4N3/4Rp2/3q4/1P3PPP/4R1K1 w - - 0 26,-252
4r1k1/6p1/4r2p/8/4Rp2/3N4/1P3PPP/4R1K1 b - - 0 26,226
4r1k1/6p1/7p/8/4rp2/3N4/1P3PPP/4R1K1 w - - 0 27,-234
4r1k1/6p1/7p/8/4Rp2/3N4/1P3PPP/6K1 b - - 0 27,242
6k1/6p1/7p/8/4rp2/3N4/1P3PPP/6K1 w - - 0 28,-250
6k1/6p1/7p/8/4rp2/3N4/1P3PPP/5K2 b - - 1 28,258
6k1/6p1/7p/8/3r1p2/3N4/1P3PPP/5K2 w - - 2 29,-247
6k1/6p1/7p/8/3r1p2/3N4/1P2KPPP/8 b - - 3 29,317
6k1/6p1/7p/8/3r4/3N1p2/1P2KPPP/8 w - - 0 30,-315
6k1/6p1/7p/8/3r4/3N1P2/1P2KP1P/8 b - - 0 30,311
6k1/6p1/7p/8/7r/3N1P2/1P2KP1P/8 w - - 1 31,-319
6k1/6p1/7p/4N3/7r/5P2/1P2KP1P/8 b - - 2 31,325
6k1/6p1/7p/4N3/8/5P2/1P2KP1r/8 w - - 0 32,-325
6k1/6p1/7p/4N3/5P2/8/1P2KP1r/8 b - - 0 32,323
6k1/6p1/7p/4N3/5P2/7r/1P2KP2/8 w - - 1 33,-299
6k1/6p1/7p/8/5P2/5N1r/1P2KP2/8 b - - 2 33,298
6k1/6p1/7p/8/5P2/5N2/1P2KP2/7r w - - 3 34,-290
6k1/6p1/7p/8/5P2/4KN2/1P3P2/7r b - - 4 34,302
8/5kp1/7p/8/5P2/4KN2/1P3P2/7r w - - 5 35,-282
8/5kp1/7p/8/5P2/4K3/1P1N1P2/7r b - - 6 35,335
8/6p1/6kp/8/5P2/4K3/1P1N1P2/7r w - - 7 36,-270
8/6p1/6kp/8/2N2P2/4K3/1P3P2/7r b - - 8 36,388
8/6p1/6kp/8/2N2P2/4K3/1P3P2/2r5 w - - 9 37,-349
8/6p1/6kp/8/5P2/N3K3/1P3P2/2r5 b - - 10 37,441
8/6p1/2r3kp/8/5P2/N3K3/1P3P2/8 w - - 11 38,-360
8/6p1/2r3kp/8/5P2/N4K2/1P3P2/8 b - - 12 38,368
