FEN,Bewertung
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-32
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,31
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-35
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,30
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-32
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,35
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4,-41
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5,42
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 3 5,-36
r1bqkb1r/1ppp1ppp/p1n5/4p3/B3n3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,42
r1bqkb1r/1ppp1ppp/p1n5/4p3/B2Pn3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6,-37
r1bqkb1r/2pp1ppp/p1n5/1p2p3/B2Pn3/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 7,31
r1bqkb1r/2pp1ppp/p1n5/1p2p3/3Pn3/1B3N2/PPP2PPP/RNBQ1RK1 b kq - 1 7,-38
r1bqkb1r/2p2ppp/p1n5/1p1pp3/3Pn3/1B3N2/PPP2PPP/RNBQ1RK1 w kq - 0 8,35
r1bqkb1r/2p2ppp/p1n5/1p1pP3/4n3/1B3N2/PPP2PPP/RNBQ1RK1 b kq - 0 8,-33
r2qkb1r/2p2ppp/p1n1b3/1p1pP3/4n3/1B3N2/PPP2PPP/RNBQ1RK1 w kq - 1 9,33
r2qkb1r/2p2ppp/p1n1b3/1p1pP3/4n3/1BP2N2/PP3PPP/RNBQ1RK1 b kq - 0 9,-32
r2qk2r/2p2ppp/p1n1b3/1pbpP3/4n3/1BP2N2/PP3PPP/RNBQ1RK1 w kq - 1 10,24
r2qk2r/2p2ppp/p1n1b3/1pbpP3/4n3/1BPQ1N2/PP3PPP/RNB2RK1 b kq - 2 10,-27
r2q1rk1/2p2ppp/p1n1b3/1pbpP3/4n3/1BPQ1N2/PP3PPP/RNB2RK1 w - - 3 11,18
r2q1rk1/2p2ppp/p1n1b3/1pbpP3/4n3/1BPQBN2/PP3PPP/RN3RK1 b - - 4 11,-21
r2q1rk1/2p2ppp/p1n1b3/1p1pP3/4n3/1BPQbN2/PP3PPP/RN3RK1 w - - 0 12,25
r2q1rk1/2p2ppp/p1n1b3/1p1pP3/4n3/1BP1QN2/PP3PPP/RN3RK1 b - - 0 12,-19
r2q1rk1/2p3pp/p1n1b3/1p1pPp2/4n3/1BP1QN2/PP3PPP/RN3RK1 w - f6 0 13,24
r2q1rk1/2p3pp/p1n1bP2/1p1p4/4n3/1BP1QN2/PP3PPP/RN3RK1 b - - 0 13,-20
r4rk1/2p3pp/p1n1bq2/1p1p4/4n3/1BP1QN2/PP3PPP/RN3RK1 w - - 0 14,22
r4rk1/2p3pp/p1n1bq2/1p1p4/4n3/1BP1QN2/PP1N1PPP/R4RK1 b - - 1 14,-22
r4rk1/2p3pp/p1n1bq2/1p1p4/8/1BP1QN2/PP1n1PPP/R4RK1 w - - 0 15,17
r4rk1/2p3pp/p1n1bq2/1p1p4/8/1BP2N2/PP1Q1PPP/R4RK1 b - - 0 15,-17
3r1rk1/2p3pp/p1n1bq2/1p1p4/8/1BP2N2/PP1Q1PPP/R4RK1 w - - 1 16,22
3r1rk1/2p3pp/p1n1bq2/1p1p4/P7/1BP2N2/1P1Q1PPP/R4RK1 b - - 0 16,-13
3r1rk1/2p3pp/p1n1bq2/1p6/P2p4/1BP2N2/1P1Q1PPP/R4RK1 w - - 0 17,16
3r1rk1/2p3pp/p1n1Bq2/1p6/P2p4/2P2N2/1P1Q1PPP/R4RK1 b - - 0 17,-8
3r1rk1/2p3pp/p1n1q3/1p6/P2p4/2P2N2/1P1Q1PPP/R4RK1 w - - 0 18,25
3r1rk1/2p3pp/p1n1q3/1P6/3p4/2P2N2/1P1Q1PPP/R4RK1 b - - 0 18,-16
3r1rk1/2p3pp/2n1q3/1p6/3p4/2P2N2/1P1Q1PPP/R4RK1 w - - 0 19,19
3r1rk1/2p3pp/2n1q3/1p6/3p4/2PQ1N2/1P3PPP/R4RK1 b - - 1 19,-19
3r1rk1/2p3pp/2n1q3/1p6/8/2pQ1N2/1P3PPP/R4RK1 w - - 0 20,20
3r1rk1/2p3pp/2n1q3/1p6/8/2Q2N2/1P3PPP/R4RK1 b - - 0 20,-9
3r1rk1/2p3pp/2n5/1p6/2q5/2Q2N2/1P3PPP/R4RK1 w - - 1 21,8
3r1rk1/2p3pp/2n5/1p6/2q5/2Q2N2/1P3PPP/R1R3K1 b - - 2 21,-8
3r1rk1/2p3pp/8/1p6/2qn4/2Q2N2/1P3PPP/R1R3K1 w - - 3 22,8
3r1rk1/2p3pp/8/1p6/2Qn4/5N2/1P3PPP/R1R3K1 b - - 0 22,-8
3r1rk1/2p3pp/8/8/2pn4/5N2/1P3PPP/R1R3K1 w - - 0 23,8
3r1rk1/2p3pp/8/8/2Rn4/5N2/1P3PPP/R5K1 b - - 0 23,-9
3r1rk1/2p3pp/8/8/2R5/5n2/1P3PPP/R5K1 w - - 0 24,17
3r1rk1/2p3pp/8/8/2R5/5P2/1P3P1P/R5K1 b - - 0 24,-15
1r3rk1/2p3pp/8/8/2R5/5P2/1P3P1P/R5K1 w - - 1 25,9
1r3rk1/2R3pp/8/8/8/5P2/1P3P1P/R5K1 b - - 0 25,-7
1r4k1/2R2rpp/8/8/8/5P2/1P3P1P/R5K1 w - - 1 26,5
1r4k1/5rpp/8/8/8/5P2/1PR2P1P/R5K1 b - - 2 26,-5
1r4k1/1r4pp/8/8/8/5P2/1PR2P1P/R5K1 w - - 3 27,6
1r4k1/1r4pp/8/8/8/5P2/RPR2P1P/6K1 b - - 4 27,-6
1r4k1/1r4p1/7p/8/8/5P2/RPR2P1P/6K1 w - - 0 28,8
1r4k1/1r4p1/7p/8/8/5P2/RPR2PKP/8 b - - 1 28,-8
1r4k1/6p1/7p/8/1r6/5P2/RPR2PKP/8 w - - 2 29,5
1r4k1/6p1/7p/8/1r6/5PK1/RPR2P1P/8 b - - 3 29,-8
1r6/6pk/7p/8/1r6/5PK1/RPR2P1P/8 w - - 4 30,3
1r6/6pk/7p/8/1r5P/5PK1/RPR2P2/8 b - - 0 30,0
8/6pk/1r5p/8/1r5P/5PK1/RPR2P2/8 w - - 1 31,1
8/6pk/1r5p/2R5/1r5P/5PK1/RP3P2/8 b - - 2 31,-1
8/6pk/1r5p/2R5/7P/5PK1/Rr3P2/8 w - - 0 32,0
8/6pk/1r5p/2R5/7P/5PK1/1R3P2/8 b - - 0 32,-1
8/6pk/7p/2R5/7P/5PK1/1r3P2/8 w - - 0 33,3
8/6pk/7p/2R4P/8/5PK1/1r3P2/8 b - - 0 33,0
8/6pk/7p/2R4P/8/5PK1/5P2/1r6 w - - 1 34,0
8/6pk/7p/2R4P/5P2/6K1/5P2/1r6 b - - 0 34,0
8/6pk/7p/2R4P/5P2/6K1/5P2/6r1 w - - 1 35,0
8/6pk/7p/2R4P/5P2/5K2/5P2/6r1 b - - 2 35,0
6k1/6p1/7p/2R4P/5P2/5K2/5P2/6r1 w - - 3 36,0
6k1/2R3p1/7p/7P/5P2/5K2/5P2/6r1 b - - 4 36,0
6k1/2R3p1/7p/7P/5P2/5K2/5P2/1r6 w - - 5 37,0
6k1/4R1p1/7p/7P/5P2/5K2/5P2/1r6 b - - 6 37,0
6k1/4R1p1/7p/7P/5P2/5K2/5P2/7r w - - 7 38,0
6k1/4R1p1/7p/7P/5PK1/8/5P2/7r b - - 8 38,0
6k1/4R1p1/7p/7P/5PK1/8/5P2/6r1 w - - 9 39,0
6k1/4R1p1/7p/7P/5P2/5K2/5P2/6r1 b - - 10 39,0
8/4R1pk/7p/7P/5P2/5K2/5P2/6r1 w - - 11 40,0
8/R5pk/7p/7P/5P2/5K2/5P2/6r1 b - - 12 40,0
6k1/R5p1/7p/7P/5P2/5K2/5P2/6r1 w - - 13 41,0
